hex,flight,reg,type_code,report_type,version,verdict,nac_p,nac_v,nic,sda,sil,failed_paragraphs,emergency,continuity,track_end,altitude,category,altitude_band,unstable,polls_seen,rule_airspace,year_mfr,build_cert
AC-2BD16B,,,A139,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 57 s without a refresh, then reacquired (threshold 20 s)",,,A7,"Below 10,000 ft",,62,91.225(d)(2),2014,Type certificated
AC-14E64C,,,,adsb_icao,2,pass,11,1,8,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 2 snapshot(s), 45 s between sightings; dropout: absent from 2 snapshot(s), 46 s between sightings",,,A2,Surface,,69,91.225(d)(2),2015,Type certificated
AC-076A01,,,C680,adsb_icao,2,pass,10,2,8,2,3,,,,last position 55 s old when last seen; not reacquired in the window,,A2,"Below 10,000 ft",,44,91.225(d)(1),2008,Type certificated
AC-81F633,,,A21N,adsb_icao,2,pass,9,1,8,3,3,,,,,,A3,"10,000 ft to FL180",,2,91.225(d)(4),2019,Type certificated
AC-AC2740,,,GLF4,adsb_icao,2,pass,10,2,8,2,3,,,,,,A2,FL180 and above,,30,91.225(d)(2),2002,Type certificated
AC-059236,,,,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 50 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 156 snapshot(s), 2356 s between sightings",,,A7,"Below 10,000 ft",,84,91.225(d)(2),1994,Type certificated
AC-02E195,,,B407,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 53 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 9 snapshot(s), 150 s between sightings; dropout: absent from 9 snapshot(s), 150 s between sightings; dropout: absent from 4 snapshot(s), 73 s between sightings; dropout: absent from 5 snapshot(s), 89 s between sightings; dropout: absent from 5 snapshot(s), 90 s between sightings; dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 13 snapshot(s), 210 s between sightings",,,A7,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),179,91.225(d)(1),2014,Type certificated
AC-1DA1A5,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 49 s without a refresh, then reacquired (threshold 20 s)",,,A3,FL180 and above,nic alternated between 0 and 8 (2 changes),148,91.225(d)(4),2013,Type certificated
AC-C9F30C,,,E55P,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 43 s without a refresh, then reacquired (threshold 20 s)",,,A2,"10,000 ft to FL180",,137,91.225(d)(2),2017,Type certificated
AC-E66295,,,B739,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,86,91.225(d)(1),2013,Type certificated
AC-EE4DB7,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 7 snapshot(s), 120 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings; dropout: absent from 6 snapshot(s), 104 s between sightings",,,A3,FL180 and above,sil alternated between 2 and 3 (4 changes),154,91.225(d)(1),2013,Type certificated
AC-821597,,,AS50,adsb_icao,2,pass,10,2,9,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 17 snapshot(s), 271 s between sightings; dropout: absent from 42 snapshot(s), 646 s between sightings",,,A7,"Below 10,000 ft",sil alternated between 2 and 3 (2 changes),176,91.225(d)(2),2004,Type certificated
AC-D0B7E6,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,12,91.225(d)(4),2013,Type certificated
AC-496C73,,,A339,adsb_icao,2,pass,10,2,8,2,3,,,,,,A5,FL180 and above,,104,91.225(d)(4),2021,Type certificated
AC-3CD0FF,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,last position 49 s old when last seen; not reacquired in the window,,A3,FL180 and above,,186,91.225(d)(4),2013,Type certificated
AC-E43E54,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,2,91.225(d)(4),2013,Type certificated
AC-3B16F9,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,64,91.225(d)(1),2013,Type certificated
AC-D76E81,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 52 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 7 snapshot(s), 120 s between sightings; dropout: absent from 8 snapshot(s), 135 s between sightings",,,A3,"10,000 ft to FL180",nac_p alternated between 0 and 10 (4 changes); nac_v alternated between 0 and 2 (4 changes); nic alternated between 0 and 8 (4 changes); sil alternated between 2 and 3 (2 changes),65,91.225(d)(1),2013,Type certificated
AC-BFF947,,,,adsb_icao,2,pass,10,2,9,2,3,,,,,,A1,"Below 10,000 ft",,19,91.225(d)(2),,Type certificated
AC-BE8B1C,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 4 snapshot(s), 74 s between sightings; dropout: absent from 1 snapshot(s), 30 s between sightings",,,A3,FL180 and above,sil alternated between 2 and 3 (2 changes),162,91.225(d)(1),2014,Type certificated
AC-6C9BC0,,,E545,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 3 snapshot(s), 60 s between sightings; dropout: absent from 5 snapshot(s), 91 s between sightings",,,A2,"Below 10,000 ft",sil alternated between 2 and 3 (4 changes),232,91.225(d)(1),2018,Type certificated
AC-9E3A97,,,C25C,adsb_icao,2,pass,10,1,8,2,3,,,"dropout: position went at least 60 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 1 snapshot(s), 30 s between sightings",,,A2,"Below 10,000 ft",,64,91.225(d)(2),,Type certificated
AC-77A9F8,,,GLF5,adsb_icao,2,pass,10,2,8,2,3,,,,last position 50 s old when last seen; not reacquired in the window,,A3,"Below 10,000 ft",,69,91.225(d)(1),2009,Type certificated
AC-A33347,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 59 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 4 snapshot(s), 75 s between sightings; dropout: absent from 4 snapshot(s), 75 s between sightings",,,A3,"10,000 ft to FL180",sil alternated between 2 and 3 (2 changes),124,91.225(d)(4),2014,Type certificated
AC-BFC2D5,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: position went at least 54 s without a refresh, then reacquired (threshold 20 s); dropout: absent from 4 snapshot(s), 75 s between sightings",,,A3,"10,000 ft to FL180",sil alternated between 2 and 3 (1 change),59,91.225(d)(4),2014,Type certificated
AC-73E598,,,E75L,adsb_icao,2,pass,10,2,8,2,3,,,,,,A3,FL180 and above,,81,91.225(d)(4),2014,Type certificated
AC-707F42,,,A339,adsb_icao,2,pass,10,2,8,2,3,,,,last position 48 s old when last seen; not reacquired in the window,,A5,"Below 10,000 ft",,63,91.225(d)(1),2025,Type certificated
AC-6740E5,,,B737,adsb_icao,2,pass,10,2,8,2,3,,,"dropout: absent from 7 snapshot(s), 120 s between sightings",,,A3,"Below 10,000 ft",,9,91.225(d)(1),2003,Type certificated
